Ingredients,ingredient
poudres levantes (phosphate de calcium,poudres levantes (phosphate de calcium
citnc acid),citnc acid)
sodium polysorbate,sodium polysorbate
natural flavors (contains torula yeast),natural flavors (contains torula yeast)
meiasse,meiasse
contains 2% or less of modified corn starch,contains 2% or less of modified corn starch
tomatillo (citric acid),tomatillo (citric acid)
mandarine nadorcott cal 5 cat 1,mandarine nadorcott cal 5 cat 1
a registered trademark of ldh (la doria) ltd,a registered trademark of ldh (la doria) ltd
thai chillis,thai chillis
dehyd,dehyd
ascorbic acid (for color retention),ascorbic acid (for color retention)
sokium bicarbonate),sokium bicarbonate)
fire roasted tomato,fire roasted tomato
olives noires 57 % (olives noires,olives noires 57 % (olives noires
1 (graisse et viande 4,1 (graisse et viande 4
nonfat dry miilk,nonfat dry miilk
guar gum and calcium chloride),guar gum and calcium chloride)
natural blackberry flavor,natural blackberry flavor
herbs (parsley thyme),herbs (parsley thyme)
unbleached enric,unbleached enric
blackberries variety lochness,blackberries variety lochness
pineapple juice powder (corn syrup solids,pineapple juice powder (corn syrup solids
low- moisture part- skim mozzarella cheese (part - skim milk,low- moisture part- skim mozzarella cheese (part - skim milk
alcohol (to retain freshness)),alcohol (to retain freshness))
skirt steak,skirt steak
quelques goutes d'huile d'olive vierge extra (6%),quelques goutes d'huile d'olive vierge extra (6%)
sodium benzoate and sodium metabisulfite as preservatives (e211,sodium benzoate and sodium metabisulfite as preservatives (e211
potassium sorbate (preservative) and sodium benzoate (preservative),potassium sorbate (preservative) and sodium benzoate (preservative)
extrait de coco bio,extrait de coco bio
organic expeller pressed high oleic oil (canola and/or sunflower),organic expeller pressed high oleic oil (canola and/or sunflower)
dehydrated onions and garlic,dehydrated onions and garlic
csemegekukorica),csemegekukorica)
red pepper salt),red pepper salt)
rue gaston castel 13016 marseille,rue gaston castel 13016 marseille
gekochter traubenmost),gekochter traubenmost)
spearmint 8%,spearmint 8%
fromage cheddar (lait,fromage cheddar (lait
figues 50%,figues 50%
poivrons 16,poivrons 16
beta carotene and vegetable juice (for color),beta carotene and vegetable juice (for color)
sementes de cacau (9%),sementes de cacau (9%)
stabilisants e 450,stabilisants e 450
cayenne pepper our commitment to quality is clear,cayenne pepper our commitment to quality is clear
oat bran natural flavor,oat bran natural flavor
abricot 1%,abricot 1%
green curry paste (green chili pepper,green curry paste (green chili pepper
parmesan-cheese (part skim milk,parmesan-cheese (part skim milk
eggplant peppers,eggplant peppers
sec et piments forts (4 %),sec et piments forts (4 %)
mandarines,mandarines
vegetable margarine (palm tree),vegetable margarine (palm tree)
pepperoni (port and beef,pepperoni (port and beef
vegetable emulsifiers (481,vegetable emulsifiers (481
corrector de acidez citrico),corrector de acidez citrico)
pumpkin flower,pumpkin flower
organic real cabbage,organic real cabbage
potassium sorbate and calium propionate (preservatives),potassium sorbate and calium propionate (preservatives)
rice flour) water,rice flour) water
natural matcha green tea extract,natural matcha green tea extract
(e3tl starch,(e3tl starch
acid'ty regulators (tri sodium citrate,acid'ty regulators (tri sodium citrate
gaines de cumin,gaines de cumin
malto-oligosaccharide,malto-oligosaccharide
honey butter seasoning (maltodextrin,honey butter seasoning (maltodextrin
plum,plum
fresh parsley (3%),fresh parsley (3%)
fully cooked b,fully cooked b
chocolat en poudre 1,chocolat en poudre 1
chorizo (6%),chorizo (6%)
quince pulp (50%),quince pulp (50%)
orange juice,orange juice
green bell peppers),green bell peppers)
brocolis 13%),brocolis 13%)
sucre de canne 59,sucre de canne 59
estratto di malto di orzo nocciole,estratto di malto di orzo nocciole
salty caramel flavor (water,salty caramel flavor (water
bi bi,bi bi
blueberry juice from concentrate,blueberry juice from concentrate
oeufs extra-frais 20%,oeufs extra-frais 20%
sodium diacetate preservative),sodium diacetate preservative)
huile de tournesol t),huile de tournesol t)
dloeufs,dloeufs
vanillin salt),vanillin salt)
natural and artificial flavors (with milk,natural and artificial flavors (with milk
class 1 primofiori lemons,class 1 primofiori lemons
cultured pasteurised grade a reduced fat milk,cultured pasteurised grade a reduced fat milk
hydrogenated glucose syrup,hydrogenated glucose syrup
viande de bovin adulte 40%,viande de bovin adulte 40%
sodium metabisulphite (preservative),sodium metabisulphite (preservative)
ribonuvleotides,ribonuvleotides
myrtilles (3 %),myrtilles (3 %)
soybean and hydrogenated coconut oils,soybean and hydrogenated coconut oils
crisp rice with soy protein (rice flour,crisp rice with soy protein (rice flour
pommes de terre (1 3,pommes de terre (1 3
huile de noix vierge 20%,huile de noix vierge 20%
color added (includes yellow 6,color added (includes yellow 6
graines de lin blond,graines de lin blond
cacao majgre,cacao majgre
asparagus,asparagus
cacao maigre en poudre (3,cacao maigre en poudre (3
pcissons,pcissons
pasteurized process cheddar cheese product (cultured milk,pasteurized process cheddar cheese product (cultured milk
contiene dos por ciento o menos de suero,contiene dos por ciento o menos de suero
jus de soja biologique 97,jus de soja biologique 97
ricotta cheese (pa,ricotta cheese (pa
gemoffceerd zetmeel,gemoffceerd zetmeel
sultana,sultana
organic soy lecithin (an emulsifier) (contains milk),organic soy lecithin (an emulsifier) (contains milk)
cherry and / or pomegranate),cherry and / or pomegranate)
canola /olive oil blend,canola /olive oil blend
grilled seasoned chicken (chicken,grilled seasoned chicken (chicken
soy/rapeseed lecithin,soy/rapeseed lecithin
gerstemout,gerstemout
basilic 35,basilic 35
filltered water,filltered water
59 g,59 g
oignons 11,oignons 11
green peppers),green peppers)
vitamin a palmitate cookie pieces - enriched flour (wheat flour,vitamin a palmitate cookie pieces - enriched flour (wheat flour
acide malique ),acide malique )
emulgente (5-471),emulgente (5-471)
artificial colors (color,artificial colors (color
carbon dioxide (to protect fr,carbon dioxide (to protect fr
propyle,propyle
verpackung,verpackung
graisse de poulet (4,graisse de poulet (4
sugar glucose,sugar glucose
sunflower oil blend (sunflower oil,sunflower oil blend (sunflower oil
sucre (9 %),sucre (9 %)
aluminium phosphate,aluminium phosphate
sarrasin 99,sarrasin 99
aroma (vanilina),aroma (vanilina)
organic cane sugar organic cocoa butter,organic cane sugar organic cocoa butter
rice crispies (rice,rice crispies (rice
(panax),(panax)
graine de pavot bleue 0,graine de pavot bleue 0
crevettes (14%),crevettes (14%)
white kidney beans (white kidney beans,white kidney beans (white kidney beans
light tuna (fish),light tuna (fish)
inosinate and guanylate (disodium inosinate,inosinate and guanylate (disodium inosinate
prepared horseradish (horseradish,prepared horseradish (horseradish
colorant (e161b),colorant (e161b)
diced peeled tomatoes,diced peeled tomatoes
sour cream (culture milk),sour cream (culture milk)
glucose syrup (from maize),glucose syrup (from maize)
corante (e171),corante (e171)
cracker meal(wheat flour),cracker meal(wheat flour)
smoked jalapeno and habanero peppers,smoked jalapeno and habanero peppers
farine caroube,farine caroube
dijera mustered (water,dijera mustered (water
roasted dried tomatoes,roasted dried tomatoes
ciande de poulet,ciande de poulet
cinnamon filling (vegetable margarine (palm oil,cinnamon filling (vegetable margarine (palm oil
filet mignon de porc,filet mignon de porc
seasoning (hydrolyzed soy protein and hydrolyzed whey protein),seasoning (hydrolyzed soy protein and hydrolyzed whey protein)
carottes (39%),carottes (39%)
cake pieces (sugar,cake pieces (sugar
4 % (basilic,4 % (basilic
spice mix (onions,spice mix (onions
agents levants (e503,agents levants (e503
enzymes and potato starch),enzymes and potato starch)
cheese sauce water,cheese sauce water
clous de girofle bio),clous de girofle bio)
yogurt (organic cultured skim milk,yogurt (organic cultured skim milk
pruneaux 2%,pruneaux 2%
chocolat 5% (sucre,chocolat 5% (sucre
moules 7%,moules 7%
crushed organic red pepper,crushed organic red pepper
e160e),e160e)
lait de coco 8,lait de coco 8
virvaigre d'alcool,virvaigre d'alcool
basilikum 5%,basilikum 5%
guar gum trace of lime,guar gum trace of lime
brotes de espinaca,brotes de espinaca
refined peanut oil (for roasting),refined peanut oil (for roasting)
bancon-type flavor (salt,bancon-type flavor (salt
(modified whey,(modified whey
blueberries (apple) juice,blueberries (apple) juice
low-moisture part-skim mozzarella cheese (cultured pasteurized part-skim milk,low-moisture part-skim mozzarella cheese (cultured pasteurized part-skim milk
60% kichererbsen,60% kichererbsen
40% beurre (contient du lait),40% beurre (contient du lait)
vegetable shortening blend(palm oil and /orsoybean oil,vegetable shortening blend(palm oil and /orsoybean oil
fruit and vegetable juices added for color (purple sweet potato,fruit and vegetable juices added for color (purple sweet potato
dried lemon,dried lemon
noix de coco 35%,noix de coco 35%
or corn oils),or corn oils)
100% raw organic honey,100% raw organic honey
sugar vegetable shortening (soybean oil,sugar vegetable shortening (soybean oil
fkxons de seiolee,fkxons de seiolee
oyster extractive (water,oyster extractive (water
colours (el 50a,colours (el 50a
43,43
refiner's syrup,refiner's syrup
ammonium sulf,ammonium sulf
organic hon,organic hon
espessantes (pectine,espessantes (pectine
wheat semolina,wheat semolina
organic bio sprouts -flax,organic bio sprouts -flax
concentrated juices of carrot,concentrated juices of carrot
ham with water added ground and formed natural smoke flavor added (cured with water,ham with water added ground and formed natural smoke flavor added (cured with water
wing sauce (vinegar,wing sauce (vinegar
tartrates de potassium,tartrates de potassium
olivas,olivas
ricotta 10,ricotta 10
organic apple essence),organic apple essence)
red salmon 99%,red salmon 99%
colorants (el 60c),colorants (el 60c)
egg yolks (pasteurized egg yolks,egg yolks (pasteurized egg yolks
eggg,eggg
wheatberry,wheatberry
less than 1/10 of 1% potassium sorbate and sodium benzoate as pr,less than 1/10 of 1% potassium sorbate and sodium benzoate as pr
ail ciboulette 0,ail ciboulette 0
veuillez indiquer,veuillez indiquer
ceba i all,ceba i all
butter toffee flavor,butter toffee flavor
parmesan 1,parmesan 1
farine de manioc 43,farine de manioc 43
4% (banane 1,4% (banane 1
stabilisant (phosphate disodique)),stabilisant (phosphate disodique))
extrait d'anchois 77%,extrait d'anchois 77%
dark truffle ganache filling (vegetable oil,dark truffle ganache filling (vegetable oil
sodium bicarbon-ate),sodium bicarbon-ate)
fructose 23%,fructose 23%
banane en flocon 2,banane en flocon 2
syre (sitronsyre),syre (sitronsyre)
piment rouge 20%,piment rouge 20%
bha and citric acid (preserves freshness),bha and citric acid (preserves freshness)
masse de cacao (7,masse de cacao (7
organic sucrose,organic sucrose
de huevo,de huevo
natural flavor fruit pectin,natural flavor fruit pectin
powder caramel (caramel coloring,powder caramel (caramel coloring
jasmine scented green tea,jasmine scented green tea
carottes(l) 6%,carottes(l) 6%
sbiker,sbiker
pomme de terre douce),pomme de terre douce)
seeds sunflower pumpkin flax corn starch,seeds sunflower pumpkin flax corn starch
jus de grande (2 %),jus de grande (2 %)
potato starch and powdered cellulose added to pr,potato starch and powdered cellulose added to pr
d-alpha-tocopherol,d-alpha-tocopherol
ultradiltered micellar casein),ultradiltered micellar casein)
glucose fruct,glucose fruct
wheat flour (contains malted barley flour),wheat flour (contains malted barley flour)
grade a milk,grade a milk
roher schinken 15% (schweinefleisch,roher schinken 15% (schweinefleisch
citron confit au sel 44 %,citron confit au sel 44 %
celery concentrate,celery concentrate
viande de faisan sauvage 20 %,viande de faisan sauvage 20 %
maltose dextrin,maltose dextrin
abricot 9%,abricot 9%
barley malt extra,barley malt extra
sultaninen 4%,sultaninen 4%
nulomoline (invert sugar),nulomoline (invert sugar)
fancy grade cashews (cashews,fancy grade cashews (cashews
raisin 23%,raisin 23%
miel de fleurs,miel de fleurs
colorant e120),colorant e120)
zumo de naranja 4,zumo de naranja 4
concentrated organic grape juice,concentrated organic grape juice
9g,9g
extrait d'echaoltes,extrait d'echaoltes
fresh mozzarella (pasteurized milk,fresh mozzarella (pasteurized milk
all natural fruit flavors,all natural fruit flavors
added to protect flavor,added to protect flavor
apple essence,apple essence
and cinnamon),and cinnamon)
cuajo animal,cuajo animal
antioxidant (307b soy),antioxidant (307b soy)
alcohol (35%),alcohol (35%)
rhubarbe (85 %),rhubarbe (85 %)
light brown sugar (sugar cane syrups),light brown sugar (sugar cane syrups)
( gnon,( gnon
cottonseed and soybean) slat,cottonseed and soybean) slat
organic fair trade ground coffee beans,organic fair trade ground coffee beans
salt citric acid) tomato sauce (tomato concentrated,salt citric acid) tomato sauce (tomato concentrated
cheese flavor (medium chain triglycerides,cheese flavor (medium chain triglycerides
multigrain blend (whole grain rolled oats,multigrain blend (whole grain rolled oats
amido de milho modificado,amido de milho modificado
piment triturado,piment triturado
floured),floured)
corn syrup natural and artificial flavors (may contain propylene glycol,corn syrup natural and artificial flavors (may contain propylene glycol
viande bovine 4%,viande bovine 4%
soy sauce,soy sauce
antioxvdant (ascorbate de sodium) et consena- teurs (nitrite de sodium,antioxvdant (ascorbate de sodium) et consena- teurs (nitrite de sodium
gingembre (58,gingembre (58
hachis d'agneau 3% (viande d'agneau,hachis d'agneau 3% (viande d'agneau
organic rice crisp (organic rice meal and organic rice bran,organic rice crisp (organic rice meal and organic rice bran
3%) (3,3%) (3
sprinkles (almond,sprinkles (almond
banana ganache (white chocolate,banana ganache (white chocolate
pasteurzed milk and cream,pasteurzed milk and cream
raising agents(e450,raising agents(e450
